Date,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
25-04-2021,Meghalaya,-,-,14384,158,15786
25-04-2021,Mizoram,-,-,4663,13,5388
25-04-2021,Nagaland,-,-,12350,95,13003
25-04-2021,Odisha,-,-,359467,1981,401341
25-04-2021,Puducherry,-,-,44767,737,52271
25-04-2021,Punjab,-,-,277189,8356,332110
25-04-2021,Rajasthan,-,-,367485,3527,498628
25-04-2021,Sikkim,-,-,6223,137,7158
25-04-2021,Tamil Nadu,-,-,952186,13475,1066329
25-04-2021,Telengana,-,-,330304,1999,395232
25-04-2021,Tripura,-,-,33408,394,34529
25-04-2021,Uttarakhand,-,-,112001,2102,147433
25-04-2021,Uttar Pradesh,-,-,752211,10959,1051314
25-04-2021,West Bengal,-,-,635802,10884,728061
24-04-2021,Andaman and Nicobar Islands,-,-,5358,65,5569
24-04-2021,Andhra Pradesh,-,-,927418,7579,1009228
24-04-2021,Arunachal Pradesh,-,-,16921,56,17430
24-04-2021,Assam,-,-,218339,1172,233453
24-04-2021,Bihar,-,-,300012,2010,378442
24-04-2021,Chandigarh,-,-,32180,430,37232
24-04-2021,Chhattisgarh,-,-,492593,6893,622965
24-04-2021,Dadra and Nagar Haveli and Daman and Diu,-,-,4353,4,6142
24-04-2021,Delhi,-,-,875109,13541,980679
24-04-2021,Goa,-,-,61628,976,73644
24-04-2021,Gujarat,-,-,361493,6019,467640
24-04-2021,Haryana,-,-,335143,3643,402843
24-04-2021,Himachal Pradesh,-,-,70539,1280,84065
24-04-2021,Jammu and Kashmir,-,-,137240,2111,156344
24-04-2021,Jharkhand,-,-,145499,1778,190692
24-04-2021,Karnataka,-,-,1046554,14075,1274959
24-04-2021,Kerala,-,-,1166135,5055,1350501
24-04-2021,Ladakh,-,-,10920,135,13089
24-04-2021,Lakshadweep,-,-,884,1,1805
24-04-2021,Madhya Pradesh,-,-,380208,4937,472785
24-04-2021,Maharashtra,-,-,3404792,63252,4161676
24-04-2021,Manipur,-,-,29180,381,30151
24-04-2021,Meghalaya,-,-,14236,157,15631
24-04-2021,Mizoram,-,-,4627,12,5283
24-04-2021,Nagaland,-,-,12338,94,12889
24-04-2021,Odisha,-,-,356003,1973,394694
24-04-2021,Puducherry,-,-,44314,728,51372
24-04-2021,Punjab,-,-,274240,8264,326447
24-04-2021,Rajasthan,-,-,362526,3453,483273
24-04-2021,Sikkim,-,-,6207,137,7037
24-04-2021,Tamil Nadu,-,-,943044,13395,1051487
24-04-2021,Telengana,-,-,326997,1961,387106
24-04-2021,Tripura,-,-,33390,394,34429
24-04-2021,Uttarakhand,-,-,110379,2021,142349
24-04-2021,Uttar Pradesh,-,-,728980,10737,1013370
24-04-2021,West Bengal,-,-,628218,10825,713780
23-04-2021,Andaman and Nicobar Islands,-,-,5309,65,5527
23-04-2021,Andhra Pradesh,-,-,922977,7541,997462
23-04-2021,Arunachal Pradesh,-,-,16860,56,17296
23-04-2021,Assam,-,-,217991,1160,231069
23-04-2021,Bihar,-,-,293945,1956,365770
23-04-2021,Chandigarh,-,-,31704,427,36404
23-04-2021,Chhattisgarh,-,-,477339,6674,605568
23-04-2021,Dadra and Nagar Haveli and Daman and Diu,-,-,4238,4,5910
23-04-2021,Delhi,-,-,851537,13193,956348
23-04-2021,Goa,-,-,61032,964,72224
23-04-2021,Gujarat,-,-,355875,5877,453836
23-04-2021,Haryana,-,-,328809,3583,390989
23-04-2021,Himachal Pradesh,-,-,69763,1254,82876
23-04-2021,Jammu and Kashmir,-,-,136221,2092,154407
23-04-2021,Jharkhand,-,-,142294,1715,184951
23-04-2021,Karnataka,-,-,1037857,13885,1247997
23-04-2021,Kerala,-,-,1160472,5028,1322054
23-04-2021,Ladakh,-,-,10761,135,12937
23-04-2021,Lakshadweep,-,-,867,1,1671
23-04-2021,Madhya Pradesh,-,-,369375,4863,459195
23-04-2021,Maharashtra,-,-,3330747,62479,4094840
23-04-2021,Manipur,-,-,29153,381,30047
23-04-2021,Meghalaya,-,-,14198,157,15488
23-04-2021,Mizoram,-,-,4600,12,5220
23-04-2021,Nagaland,-,-,12322,94,12800
23-04-2021,Odisha,-,-,353551,1965,388479
23-04-2021,Puducherry,-,-,43931,726,50580
23-04-2021,Punjab,-,-,270946,8189,319719
23-04-2021,Rajasthan,-,-,357329,3389,467875
23-04-2021,Sikkim,-,-,6193,137,6970
23-04-2021,Tamil Nadu,-,-,934966,13317,1037711
23-04-2021,Telengana,-,-,324840,1928,379494
23-04-2021,Tripura,-,-,33345,394,34302
23-04-2021,Uttarakhand,-,-,109058,1972,138010
23-04-2021,Uttar Pradesh,-,-,706414,10541,976765
23-04-2021,West Bengal,-,-,621340,10766,700904
22-04-2021,Andaman and Nicobar Islands,-,-,5276,64,5490
22-04-2021,Andhra Pradesh,-,-,918985,7510,986703
22-04-2021,Arunachal Pradesh,-,-,16851,56,17186
22-04-2021,Assam,-,-,217593,1150,229138
22-04-2021,Bihar,-,-,288637,1897,354281
22-04-2021,Chandigarh,-,-,31222,423,35770
22-04-2021,Chhattisgarh,-,-,459600,6467,588818
22-04-2021,Dadra and Nagar Haveli and Daman and Diu,-,-,4150,4,5672
22-04-2021,Delhi,-,-,831928,12887,930179
22-04-2021,Goa,-,-,60571,943,70814
22-04-2021,Gujarat,-,-,350865,5740,440731
22-04-2021,Haryana,-,-,322297,3528,381247
22-04-2021,Himachal Pradesh,-,-,69073,1236,81102
22-04-2021,Jammu and Kashmir,-,-,135430,2084,152442
22-04-2021,Jharkhand,-,-,139921,1609,177356
22-04-2021,Karnataka,-,-,1032233,13762,1222202
22-04-2021,Kerala,-,-,1154102,5000,1295059
22-04-2021,Ladakh,-,-,10630,134,12739
22-04-2021,Lakshadweep,-,-,833,1,1526
22-04-2021,Madhya Pradesh,-,-,359755,4788,446811
22-04-2021,Maharashtra,-,-,3268449,61911,4027827
22-04-2021,Manipur,-,-,29128,380,29961
22-04-2021,Meghalaya,-,-,14130,157,15308
22-04-2021,Mizoram,-,-,4576,12,5158
22-04-2021,Nagaland,-,-,12306,94,12747
22-04-2021,Odisha,-,-,351386,1958,382315
22-04-2021,Puducherry,-,-,43467,722,49593
22-04-2021,Punjab,-,-,267289,8114,314269
22-04-2021,Rajasthan,-,-,353711,3330,453407
22-04-2021,Sikkim,-,-,6174,136,6846
22-04-2021,Tamil Nadu,-,-,927440,13258,1025059
22-04-2021,Telengana,-,-,321788,1899,373468
22-04-2021,Tripura,-,-,33268,394,34262
22-04-2021,Uttarakhand,-,-,107166,1953,134012
22-04-2021,Uttar Pradesh,-,-,689900,10346,942511
22-04-2021,West Bengal,-,-,614750,10710,688956
21-04-2021,Andaman and Nicobar Islands,-,-,5243,64,5466
21-04-2021,Andhra Pradesh,-,-,915626,7472,976987
21-04-2021,Arunachal Pradesh,-,-,16835,56,17113
21-04-2021,Assam,-,-,217296,1145,227473
21-04-2021,Bihar,-,-,283863,1841,342059
21-04-2021,Chandigarh,-,-,30768,421,35148
21-04-2021,Chhattisgarh,-,-,442337,6274,574299
21-04-2021,Dadra and Nagar Haveli and Daman and Diu,-,-,4047,4,5422
21-04-2021,Delhi,-,-,807328,12638,905541
21-04-2021,Goa,-,-,60145,926,69312
21-04-2021,Gujarat,-,-,346063,5615,428178
21-04-2021,Haryana,-,-,318369,3483,371624
21-04-2021,Himachal Pradesh,-,-,68164,1219,79410
21-04-2021,Jammu and Kashmir,-,-,134697,2071,150238
21-04-2021,Jharkhand,-,-,137590,1547,172315
21-04-2021,Karnataka,-,-,1025821,13646,1198644
21-04-2021,Kerala,-,-,1148671,4978,1272645
21-04-2021,Ladakh,-,-,10610,134,12556
21-04-2021,Lakshadweep,-,-,817,1,1335
21-04-2021,Madhya Pradesh,-,-,350720,4713,433704
21-04-2021,Maharashtra,-,-,3213464,61343,3960359
21-04-2021,Manipur,-,-,29106,378,29869
21-04-2021,Meghalaya,-,-,14105,154,15116
21-04-2021,Mizoram,-,-,4569,12,5085
21-04-2021,Nagaland,-,-,12299,94,12650
21-04-2021,Odisha,-,-,349377,1953,377464
21-04-2021,Puducherry,-,-,43184,717,48974
21-04-2021,Punjab,-,-,264562,8045,309316
21-04-2021,Rajasthan,-,-,349946,3268,438785
21-04-2021,Sikkim,-,-,6172,136,6796
21-04-2021,Tamil Nadu,-,-,920369,13205,1013378
21-04-2021,Telengana,-,-,319537,1876,367901
21-04-2021,Tripura,-,-,33231,394,34186
21-04-2021,Uttarakhand,-,-,106272,1919,129205
21-04-2021,Uttar Pradesh,-,-,675702,10159,909405
21-04-2021,West Bengal,-,-,609134,10652,678172
20-04-2021,Andaman and Nicobar Islands,-,-,5212,64,5421
20-04-2021,Andhra Pradesh,-,-,912510,7437,968000
20-04-2021,Arunachal Pradesh,-,-,16820,56,17052
20-04-2021,Assam,-,-,217017,1142,225822
20-04-2021,Bihar,-,-,280286,1790,331604
20-04-2021,Chandigarh,-,-,30325,417,34546
20-04-2021,Chhattisgarh,-,-,423591,6083,558674
20-04-2021,Dadra and Nagar Haveli and Daman and Diu,-,-,3962,4,5102
20-04-2021,Delhi,-,-,787898,12361,877146
20-04-2021,Goa,-,-,59705,900,68152
